canonical_form,etymology,origin_language,brief,source_text,significance
Plato,Broad,Greek (Platon),Athenian philosopher; theory of Forms and the cave allegory,Republic; Timaeus; Phaedrus,PKD's idealism and concept of hidden reality draws heavily on Platonic Forms
Plotinus,Unknown,Greek/Latin,3rd century Neoplatonist; the One and emanation theory,Enneads,Major influence on PKD's metaphysics of emanation and return to the One
Heraclitus,Glory of Hera,Greek,Pre-Socratic philosopher of flux and logos,Fragments (DK),PKD frequently invokes Heraclitus on change and the hidden logos
Parmenides,Son of Parmenes,Greek,Pre-Socratic philosopher of unchanging Being,On Nature,PKD engages with the Parmenidean One as counterpoint to Heraclitean flux
Empedocles,Glory of the people,Greek,Pre-Socratic philosopher of love and strife,Fragments,Referenced in PKD's discussions of cosmic forces in tension
Pythagoras,Pythian oracle,Greek,Philosopher-mystic; mathematics and transmigration of souls,Doxographic tradition,PKD references Pythagorean ideas about hidden mathematical order
Xenophanes,Foreign voice,Greek,Pre-Socratic critic of anthropomorphic gods,Fragments,Referenced in PKD's critique of false conceptions of the divine
Aristotle,Best purpose,Greek (Aristos + telos),Philosopher of substance and form; Plato's student,Metaphysics; Categories,PKD engages with Aristotelian categories when discussing substance and form
Dionysos,Zeus of Nysa,Greek,God of wine and ecstasy; dying and rising deity,Euripides' Bacchae; Orphic texts,PKD connects Dionysos to the dying-and-rising god pattern
Apollo,Destroyer or shepherd,Greek (uncertain),God of light and prophecy; Delphic oracle,Homeric Hymns,Referenced in PKD's discussions of prophecy and illumination
Hermes,Cairn/boundary marker,Greek,Messenger god; guide of souls; patron of hermeneutics,Homeric Hymns; Hermetic texts,PKD engages with Hermetic tradition and the role of the divine messenger
Asklepios,Cut open,Greek (uncertain),God of healing; son of Apollo,Epidaurian inscriptions,PKD identifies Asklepios as a healing guide figure in his visions
Zagreus,Great hunter,Greek (uncertain),Orphic Dionysos; torn apart and reborn,Orphic fragments,PKD references Zagreus in discussions of the dismembered god reassembled
Athena,Unknown,Greek,Goddess of wisdom and craft; born from Zeus's head,Homer; Hesiod,Referenced in PKD's discussions of divine wisdom and strategy
